StateType,Name,IsStackable,IsDebuff,IsElite,DecayTiming,DecayMode,StacksToRemove,EffectDescription
0,无,FALSE,FALSE,FALSE,Never,None,0,无效果
1,易伤,TRUE,TRUE,FALSE,OnTurnStart,Flat,1,受到的伤害增加50%（向下取整）
2,虚弱,TRUE,TRUE,FALSE,OnTurnStart,Flat,1,造成的攻击伤害降低25%
3,燃烧,FALSE,TRUE,FALSE,Never,None,0,持续受到火焰伤害
4,反击,TRUE,FALSE,FALSE,OnTurnStart,Flat,1,在回合外受到攻击时，对来源进行一次反击（反击不会触发反击）
5,旋风斩,FALSE,FALSE,FALSE,Never,None,0,回合外的攻击会作用于所有敌人
6,增加攻击力,TRUE,FALSE,FALSE,Never,None,0,当前额外攻击伤害提升
7,额外能量,TRUE,FALSE,FALSE,OnTurnStart,ClearAll,0,下回合额外获得能量
8,虚无,FALSE,TRUE,FALSE,Never,None,0,虚无状态
9,勇气铠甲,FALSE,FALSE,FALSE,OnTurnEnd,Flat,1,每打出一张战斗牌后防御一次
10,回合开始效果,TRUE,FALSE,FALSE,OnTurnStart,ClearAll,0,回合开始时获得资源
11,燃血,TRUE,FALSE,FALSE,OnTurnStart,Flat,1,失去生命时获得1点攻击
12,紧咬不放,FALSE,FALSE,FALSE,Never,None,0,攻击施加者时触发其反击
13,持盾防守,FALSE,FALSE,FALSE,OnTurnEnd,ClearAll,0,下回合防御+3、攻击-1、禁战斗牌
14,阵地,FALSE,FALSE,FALSE,Never,None,0,回合开始时至多保留等同你当前生命值的护盾值
15,城墙,FALSE,FALSE,FALSE,Never,None,0,当你拥有护盾时，敌人的单体攻击仅会以你为目标
16,蓄势待发,FALSE,FALSE,FALSE,OnTurnStart,ClearAll,0,在本回合保留你的所有战斗牌，当你反击时，打出手牌中的第一张战斗牌作为替代
17,强撑,FALSE,FALSE,FALSE,OnTurnStart,ClearAll,0,每打出一张牌失去1点生命
18,禁战斗牌,FALSE,FALSE,FALSE,OnTurnEnd,ClearAll,0,禁止打出战斗牌（回合结束移除）
19,战术支援,FALSE,FALSE,FALSE,OnTurnStart,ClearAll,0,本回合不能再抽牌
20,统一战线,FALSE,FALSE,FALSE,OnTurnStart,ClearAll,0,本回合的下一张战斗牌免费
